Model,Accuracy,Precision,Recall,F1-Score,MSE
SVM,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.02631578947368421
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.02631578947368421
Neural Network,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.017543859649122806
